team,group,formation,starter_order,lineup_role,shirt_number,player_name,source_url
Belgium,G,4-2-3-1,1,GK,1,Courtois,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,2,DEF,5,De Cuyper,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,3,DEF,16,De Winter,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,4,DEF,15,Meunier,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,5,DEF,3,Theate,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,6,MID,7,De Bruyne,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,7,MID,17,De Ketelaere,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,8,MID,24,Onana,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,9,MID,8,Tielemans,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,10,ATT,11,Doku,https://mylineups.app/world-cup-2026/teams/belgium
Belgium,G,4-2-3-1,11,ATT,10,Trossard,https://mylineups.app/world-cup-2026/teams/belgium
Egypt,G,4-2-3-1,1,GK,23,Shobeir,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,2,DEF,6,Abdelmonem,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,3,DEF,13,Fatouh,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,4,DEF,3,Hany,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,5,DEF,2,Ibrahim,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,6,MID,8,Ashour,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,7,MID,19,Attia,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,8,MID,14,Fathy,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,9,ATT,22,Marmoush,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,10,ATT,10,Salah,https://mylineups.app/world-cup-2026/teams/egypt
Egypt,G,4-2-3-1,11,ATT,7,Trezeguet,https://mylineups.app/world-cup-2026/teams/egypt
Iran,G,4-3-3,1,GK,1,Beiranvand,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,2,DEF,4,Khalilzadeh,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,3,DEF,5,Mohammadi,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,4,DEF,19,Nemati,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,5,DEF,17,Yousefi,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,6,MID,6,Ezatolahi,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,7,MID,14,Ghoddos,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,8,ATT,10,Ghayedi,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,9,ATT,18,Hosseinzadeh,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,10,ATT,8,Mohebi,https://mylineups.app/world-cup-2026/teams/iran
Iran,G,4-3-3,11,ATT,9,Taremi,https://mylineups.app/world-cup-2026/teams/iran
New Zealand,G,4-2-3-1,1,GK,1,Crocombe,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,2,DEF,4,Bindon,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,3,DEF,5,Boxall,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,4,DEF,19,Old,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,5,MID,6,Bell,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,6,MID,13,Cacace,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,7,MID,7,Garbett,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,8,MID,10,Singh,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,9,MID,8,Stamenic,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,10,ATT,11,Just,https://mylineups.app/world-cup-2026/teams/new-zealand
New Zealand,G,4-2-3-1,11,ATT,9,Wood,https://mylineups.app/world-cup-2026/teams/new-zealand
Cape Verde,H,4-2-3-1,1,GK,1,Vozinha,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,2,DEF,5,Costa,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,3,DEF,4,Lopes,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,4,DEF,22,Moreira,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,5,MID,10,Monteiro,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,6,MID,8,Paulo,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,7,MID,6,Pina,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,8,MID,16,Semedo,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,9,ATT,7,Cabral,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,10,ATT,19,Livramento,https://mylineups.app/world-cup-2026/teams/cape-verde
Cape Verde,H,4-2-3-1,11,ATT,20,Mendes,https://mylineups.app/world-cup-2026/teams/cape-verde
Saudi Arabia,H,4-2-3-1,1,GK,21,Al Owais,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,2,DEF,5,Al Tambakti,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,3,DEF,13,Al-Boushail,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,4,DEF,3,Lajami,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,5,MID,12,Abdulhamid,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,6,MID,6,Al-Dawsari,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,7,MID,7,Al-Juwayr,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,8,MID,15,Alkhaibari,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,9,MID,23,Kanno,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,10,ATT,9,Al-Buraikan,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Saudi Arabia,H,4-2-3-1,11,ATT,10,Al-Dawsari,https://mylineups.app/world-cup-2026/teams/saudi-arabia
Spain,H,4-3-3,1,GK,23,Simón,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,2,DEF,22,Cubarsí,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,3,DEF,24,Cucurella,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,4,DEF,14,Laporte,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,5,DEF,12,Porro,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,6,MID,10,Olmo,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,7,MID,20,Pedri,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,8,MID,16,Rodri,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,9,MID,8,Ruiz,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,10,ATT,19,Lamine Yamal,https://mylineups.app/world-cup-2026/teams/spain
Spain,H,4-3-3,11,ATT,21,Oyarzabal,https://mylineups.app/world-cup-2026/teams/spain
Uruguay,H,4-4-1-1,1,GK,23,Muslera,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,2,DEF,4,Araujo,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,3,DEF,20,Araújo,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,4,DEF,2,Giménez,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,5,DEF,16,Olivera,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,6,DEF,13,Varela,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,7,MID,6,Bentancur,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,8,MID,10,de Arrascaeta,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,9,MID,5,Ugarte,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,10,MID,8,Valverde,https://mylineups.app/world-cup-2026/teams/uruguay
Uruguay,H,4-4-1-1,11,ATT,9,Núñez,https://mylineups.app/world-cup-2026/teams/uruguay
France,I,4-2-3-1,1,GK,16,Maignan,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,2,DEF,19,Hernández,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,3,DEF,5,Koundé,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,4,DEF,17,Saliba,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,5,DEF,4,Upamecano,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,6,MID,14,Rabiot,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,7,MID,8,Tchouaméni,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,8,ATT,7,Dembélé,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,9,ATT,20,Doué,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,10,ATT,10,Mbappé,https://mylineups.app/world-cup-2026/teams/france
France,I,4-2-3-1,11,ATT,11,Olise,https://mylineups.app/world-cup-2026/teams/france
Iraq,I,4-4-2,1,GK,12,Hassan,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,2,DEF,3,Ali,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,3,DEF,23,Doski,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,4,DEF,2,Sulaka,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,5,DEF,4,Tahseen,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,6,MID,16,Al-Ammari,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,7,MID,8,Bayesh,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,8,MID,14,Iqbal,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,9,ATT,9,Al Hamadi,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,10,ATT,7,Amyn,https://mylineups.app/world-cup-2026/teams/iraq
Iraq,I,4-4-2,11,ATT,18,Hussein,https://mylineups.app/world-cup-2026/teams/iraq
Norway,I,4-3-3,1,GK,1,Nyland,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,2,DEF,3,Ajer,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,3,DEF,17,Heggem,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,4,DEF,5,Møller Wolfe,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,5,MID,6,Berg,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,6,MID,8,Berge,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,7,MID,10,Ødegaard,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,8,MID,26,Ryerson,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,9,ATT,9,Haaland,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,10,ATT,20,Nusa,https://mylineups.app/world-cup-2026/teams/norway
Norway,I,4-3-3,11,ATT,7,Sørloth,https://mylineups.app/world-cup-2026/teams/norway
Senegal,I,4-3-3,1,GK,16,Mendy,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,2,DEF,15,Diatta,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,3,DEF,25,Diouf,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,4,DEF,3,Koulibaly,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,5,DEF,19,Niakhaté,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,6,MID,21,Diarra,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,7,MID,5,Gana Gueye,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,8,MID,26,Gueye,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,9,MID,10,Mané,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,10,ATT,11,Jackson,https://mylineups.app/world-cup-2026/teams/senegal
Senegal,I,4-3-3,11,ATT,13,Ndiaye,https://mylineups.app/world-cup-2026/teams/senegal
Algeria,J,4-2-3-1,1,GK,23,Zidane,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,2,DEF,15,Ait Nouri,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,3,DEF,21,Bensebaini,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,4,DEF,2,Mandi,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,5,MID,8,Aouar,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,6,MID,17,Belghali,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,7,MID,14,Boudaoui,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,8,MID,10,Chaïbi,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,9,ATT,18,Amoura,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,10,ATT,9,Gouiri,https://mylineups.app/world-cup-2026/teams/algeria
Algeria,J,4-2-3-1,11,ATT,7,Mahrez,https://mylineups.app/world-cup-2026/teams/algeria
Argentina,J,4-3-3,1,GK,23,Martínez,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,2,DEF,6,Martínez,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,3,DEF,26,Molina,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,4,DEF,19,Otamendi,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,5,DEF,3,Tagliafico,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,6,MID,7,De Paul,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,7,MID,24,Fernández,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,8,MID,15,González,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,9,MID,20,Mac Allister,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,10,ATT,9,Álvarez,https://mylineups.app/world-cup-2026/teams/argentina
Argentina,J,4-3-3,11,ATT,10,Messi,https://mylineups.app/world-cup-2026/teams/argentina
Austria,J,4-2-3-1,1,GK,1,Schlager,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,2,DEF,8,Alaba,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,3,DEF,20,Laimer,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,4,DEF,15,Lienhart,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,5,MID,16,Mwene,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,6,MID,9,Sabitzer,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,7,MID,4,Schlager,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,8,MID,18,Schmid,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,9,MID,6,Seiwald,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,10,ATT,7,Arnautovic,https://mylineups.app/world-cup-2026/teams/austria
Austria,J,4-2-3-1,11,ATT,11,Gregoritsch,https://mylineups.app/world-cup-2026/teams/austria
Jordan,J,3-4-3,1,GK,1,Abulaila,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,2,DEF,4,Abu Dahab,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,3,DEF,5,Al Arab,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,4,DEF,3,Nasib,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,5,MID,20,Abu Taha,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,6,MID,13,Al Mardi,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,7,MID,21,Al Rashdan,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,8,MID,8,Al Rawabdeh,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,9,MID,23,Haddad,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,10,MID,10,Tamari,https://mylineups.app/world-cup-2026/teams/jordan
Jordan,J,3-4-3,11,ATT,9,Olwan,https://mylineups.app/world-cup-2026/teams/jordan
Colombia,K,4-2-3-1,1,GK,12,Vargas,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,2,DEF,3,Lucumí,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,3,DEF,17,Mojica,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,4,DEF,23,Sánchez,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,5,MID,16,Lerma,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,6,MID,2,Muñoz,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,7,MID,6,Ríos,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,8,MID,10,Rodríguez,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,9,ATT,11,Arias,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,10,ATT,7,Luis Diaz,https://mylineups.app/world-cup-2026/teams/colombia
Colombia,K,4-2-3-1,11,ATT,25,Suárez,https://mylineups.app/world-cup-2026/teams/colombia
DR Congo,K,4-4-2,1,GK,1,Mpasi-Nzau,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,2,DEF,26,Masuaku,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,3,DEF,22,Mbemba,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,4,DEF,4,Tuanzebe,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,5,DEF,2,Wan-Bissaka,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,6,MID,8,Moutoussamy,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,7,MID,14,Sadiki,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,8,ATT,17,Bakambu,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,9,ATT,13,Elia,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,10,ATT,7,Mbuku,https://mylineups.app/world-cup-2026/teams/dr-congo
DR Congo,K,4-4-2,11,ATT,20,Wissa,https://mylineups.app/world-cup-2026/teams/dr-congo
Portugal,K,4-2-3-1,1,GK,1,Costa,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,2,DEF,20,Cancelo,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,3,DEF,3,Dias,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,4,DEF,14,Inácio,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,5,DEF,25,Mendes,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,6,MID,8,Fernandes,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,7,MID,15,Neves,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,8,MID,10,Silva,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,9,MID,23,Vitinha,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,10,ATT,17,Leão,https://mylineups.app/world-cup-2026/teams/portugal
Portugal,K,4-2-3-1,11,ATT,7,Ronaldo,https://mylineups.app/world-cup-2026/teams/portugal
Uzbekistan,K,3-4-2-1,1,GK,1,Yusupov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,2,DEF,3,Alidzhanov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,3,DEF,5,Ashurmatov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,4,DEF,2,Khusanov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,5,DEF,13,Nasrulloev,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,6,MID,18,Abdullaev,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,7,MID,9,Khamrobekov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,8,MID,14,Shomurodov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,9,MID,7,Shukurov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,10,MID,11,Urunov,https://mylineups.app/world-cup-2026/teams/uzbekistan
Uzbekistan,K,3-4-2-1,11,ATT,22,Fayzullayev,https://mylineups.app/world-cup-2026/teams/uzbekistan
Croatia,L,4-2-3-1,1,GK,1,Livakovic,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,2,DEF,5,Caleta-Car,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,3,DEF,4,Gvardiol,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,4,DEF,2,Stanisic,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,5,DEF,22,Vuskovic,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,6,MID,8,Kovacic,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,7,MID,9,Kramaric,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,8,MID,10,Modric,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,9,MID,15,Pasalic,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,10,ATT,11,Budimir,https://mylineups.app/world-cup-2026/teams/croatia
Croatia,L,4-2-3-1,11,ATT,14,Perisic,https://mylineups.app/world-cup-2026/teams/croatia
England,L,4-2-3-1,1,GK,1,Pickford,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,2,DEF,6,Guéhi,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,3,DEF,24,James,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,4,DEF,2,Konsa,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,5,DEF,3,O'Reilly,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,6,MID,8,Anderson,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,7,MID,10,Bellingham,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,8,MID,4,Rice,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,9,ATT,9,Kane,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,10,ATT,11,Rashford,https://mylineups.app/world-cup-2026/teams/england
England,L,4-2-3-1,11,ATT,7,Saka,https://mylineups.app/world-cup-2026/teams/england
Ghana,L,3-4-2-1,1,GK,16,Asare,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,2,DEF,4,Adjetey,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,3,DEF,14,Mensah,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,4,DEF,18,Opoku,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,5,DEF,21,Peprah Oppong,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,6,MID,5,Partey,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,7,MID,8,Sibo,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,8,MID,3,Yirenkyi,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,9,ATT,9,Ayew,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,10,ATT,11,Semenyo,https://mylineups.app/world-cup-2026/teams/ghana
Ghana,L,3-4-2-1,11,ATT,19,Williams,https://mylineups.app/world-cup-2026/teams/ghana
Panama,L,3-4-2-1,1,GK,22,Mosquera,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,2,DEF,16,Andrade,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,3,DEF,3,Córdoba,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,4,DEF,14,Harvey,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,5,DEF,23,Murillo,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,6,MID,15,Davis,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,7,MID,20,Godoy,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,8,MID,6,Martínez,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,9,ATT,10,Díaz,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,10,ATT,7,Rodriguez,https://mylineups.app/world-cup-2026/teams/panama
Panama,L,3-4-2-1,11,ATT,18,Waterman,https://mylineups.app/world-cup-2026/teams/panama
