team,group,formation,starter_order,lineup_role,shirt_number,player_name,source_url
Bosnia and Herzegovina,B,4-4-2,8,MID,6,Tahirovic,https://mylineups.app/world-cup-2026/teams/bosnia-and-herzegovina
Bosnia and Herzegovina,B,4-4-2,9,ATT,20,Bajraktarevic,https://mylineups.app/world-cup-2026/teams/bosnia-and-herzegovina
Bosnia and Herzegovina,B,4-4-2,10,ATT,10,Demirovic,https://mylineups.app/world-cup-2026/teams/bosnia-and-herzegovina
Bosnia and Herzegovina,B,4-4-2,11,ATT,11,Dzeko,https://mylineups.app/world-cup-2026/teams/bosnia-and-herzegovina
Canada,B,4-4-2,1,GK,16,Crépeau,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,2,DEF,15,Bombito,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,3,DEF,13,Cornelius,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,4,DEF,2,Johnston,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,5,DEF,22,Laryea,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,6,MID,17,Buchanan,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,7,MID,7,Eustaquio,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,8,MID,8,Koné,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,9,ATT,10,David,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,10,ATT,9,Larin,https://mylineups.app/world-cup-2026/teams/canada
Canada,B,4-4-2,11,ATT,11,Millar,https://mylineups.app/world-cup-2026/teams/canada
Qatar,B,4-3-3,1,GK,22,Barsham,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,2,DEF,18,Al Brake,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,3,DEF,16,Khoukhi,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,4,DEF,3,Mendes,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,5,DEF,2,Miguel,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,6,MID,26,Al Mannai,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,7,MID,12,Boudiaf,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,8,MID,23,Madibo,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,9,ATT,11,Afif,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,10,ATT,19,Ali,https://mylineups.app/world-cup-2026/teams/qatar
Qatar,B,4-3-3,11,ATT,8,Junior,https://mylineups.app/world-cup-2026/teams/qatar
Switzerland,B,4-2-3-1,1,GK,1,Kobel,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,2,DEF,5,Akanji,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,3,DEF,4,Elvedi,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,4,DEF,13,Rodríguez,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,5,MID,20,Aebischer,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,6,MID,8,Freuler,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,7,MID,22,Rieder,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,8,MID,3,Widmer,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,9,MID,10,Xhaka,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,10,ATT,7,Embolo,https://mylineups.app/world-cup-2026/teams/switzerland
Switzerland,B,4-2-3-1,11,ATT,17,Vargas,https://mylineups.app/world-cup-2026/teams/switzerland
Brazil,C,4-4-2,1,GK,1,Alisson,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,2,DEF,3,Gabriel,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,3,DEF,4,Marquinhos,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,4,DEF,6,Sandro,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,5,MID,5,Casemiro,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,6,MID,8,Guimarães,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,7,MID,2,Wesley,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,8,ATT,9,Cunha,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,9,ATT,22,Martinelli,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,10,ATT,11,Raphinha,https://mylineups.app/world-cup-2026/teams/brazil
Brazil,C,4-4-2,11,ATT,7,Vinicius,https://mylineups.app/world-cup-2026/teams/brazil
Haiti,C,4-2-3-1,1,GK,1,Placide,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,2,DEF,4,Adé,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,3,DEF,2,Arcus,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,4,DEF,5,Delcroix,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,5,DEF,13,Lacroix,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,6,MID,10,Bellegarde,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,7,MID,21,Casimir,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,8,MID,11,Deedson Louicius,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,9,MID,14,Pierre,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,10,ATT,18,Isidor,https://mylineups.app/world-cup-2026/teams/haiti
Haiti,C,4-2-3-1,11,ATT,15,Providence,https://mylineups.app/world-cup-2026/teams/haiti
Morocco,C,4-3-3,1,GK,1,Bono,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,2,DEF,5,Aguerd,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,3,DEF,14,Diop,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,4,DEF,2,Hakimi,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,5,DEF,3,Mazraoui,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,6,MID,24,El Aynaoui,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,7,MID,23,El Khannouss,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,8,MID,11,Saibari,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,9,ATT,10,Brahim Diaz,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,10,ATT,20,El Kaabi,https://mylineups.app/world-cup-2026/teams/morocco
Morocco,C,4-3-3,11,ATT,17,Ezzalzouli,https://mylineups.app/world-cup-2026/teams/morocco
Scotland,C,4-2-3-1,1,GK,1,Gunn,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,2,DEF,2,Hickey,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,3,DEF,26,McKenna,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,4,DEF,3,Robertson,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,5,DEF,15,Souttar,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,6,MID,11,Christie,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,7,MID,23,McLean,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,8,MID,4,McTominay,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,9,ATT,10,Adams,https://mylineups.app/world-cup-2026/teams/scotland
